No,predictor 1,predictor 2,predictor 3,predictor 4,predictor 5,target
1,12423,710,441.5,5,4631,1
2,13983,1106,,3,4256,1
3,15520,1276,391.5,1,4397,0
4,29535,1106,,1,3772,1
5,26154,976,315,5,2445,1
6,6477,1188,377,3,1311.5,0
7,17310,1308,380,1,489.5,0
8,27095,1128,397,3,4987.5,0
9,4324,1170,416,7,148.5,1
10,11729,1054,277.5,7,348,1
11,11422,1260,384.5,7,4774,1
12,28119,1106,445.5,3,1602.5,0
13,1532,1146,364.5,3,4122,0
14,15644,1132,330.5,1,2189,1
15,17262,1106,169,3,2886,1
16,15503,1188,325,17,3473.5,0
17,13577,1096,401,5,4794,0
18,1649,1052,403.5,9,3655.5,0
19,24287,1174,300.5,3,191,0
20,6233,1060,419,5,1401,0
21,13382,1040,304,7,2923,1
22,22045,966,,3,2129.5,1
23,9555,1088,422,1,4645.5,0
24,14921,948,303.5,1,4989,1
25,22436,1174,380.5,11,4732.5,0
26,22790,1056,307.5,7,4921.5,0
27,4033,1368,383,11,1627,0
28,15988,1254,364.5,1,1517.5,0
29,14098,1106,385,7,4813.5,0
30,25253,1076,383,9,536.5,1
31,27816,1106,359,11,4249,0
32,3492,804,347.5,7,3382.5,0
33,18462,1082,336,7,4868.5,0
34,7963,1188,380,3,4171,0
35,14780,1064,401.5,3,3315,0
36,5127,1102,376.5,5,390,0
37,14481,1030,307.5,7,390.5,0
38,28757,1332,328,3,2537,0
39,9361,1312,417,3,947.5,0
40,23336,1126,307.5,3,93,0
41,21572,1068,216.5,7,111.5,1
42,6979,1104,377.5,7,2166.5,0
43,1585,1354,422.5,3,4639.5,0
44,28117,1272,328,3,1345.5,0
45,6005,1344,380.5,7,4524.5,0
46,6794,1184,359,3,4236,1
47,25055,1154,441.5,5,2426.5,0
48,22469,1268,379.5,7,4085.5,0
49,5147,1004,304.5,1,4658,1
50,4656,1066,406,1,3306,0
51,7845,1100,371,3,4003,1
52,28838,1136,424.5,19,691,0
53,22704,1038,277,9,2993.5,1
54,10084,1108,362.5,7,3028.5,0
55,3580,1220,,3,3358,0
56,2169,806,224.5,5,1859,1
57,11806,1252,357,1,712,0
58,17199,1054,382,7,1246.5,0
59,18507,1084,,1,3886,0
60,10621,1046,,7,3587.5,0
61,13270,1154,400.5,9,2642,0
62,20411,1358,255,5,4238.5,0
63,2899,972,316,9,1828,1
64,11246,1086,281.5,3,2540,1
65,9176,1022,400,1,2440,0
66,12450,1000,326.5,3,1753,1
67,12519,1054,377.5,1,1350,0
68,5436,872,116.5,1,4104.5,1
69,19043,1014,434,1,1501.5,1
70,8569,996,309.5,5,4788,1
71,21599,1024,447,3,1196.5,0
72,18492,1106,333.5,1,1213.5,0
73,21447,986,326.5,1,3995.5,0
74,17794,1106,406,5,2143.5,0
75,17500,1170,444,1,3356.5,0
